,Date,Day,Territory,Menu Item,Price (VND),Price (USD),Category,Menu
91,2022/02/01,Tue,Vietnam,Hamburger,34000.00,1.49,Snacks/Sides,Regular
92,2022/02/01,Tue,Vietnam,Chicken Burger,34000.00,1.49,Snacks/Sides,Regular
93,2022/02/01,Tue,Vietnam,Pork Burger,34000.00,1.49,Snacks/Sides,Regular
94,2022/02/01,Tue,Vietnam,Mangory Tall,49000.00,2.15,Beverages,Regular
95,2022/02/01,Tue,Vietnam,Mangory Grande,59000.00,2.59,Beverages,Regular
96,2022/02/01,Tue,Vietnam,Ormango Grande,59000.00,2.59,Beverages,Regular
97,2022/02/01,Tue,Vietnam,Coca-Cola Light ,27000.00,1.19,Beverages,Regular
98,2022/02/01,Tue,Vietnam,Strawberry McFizz,30000.00,1.32,Beverages,Regular
99,2022/02/01,Tue,Vietnam,Coca-Cola,17000.00,0.75,Beverages,Regular
100,2022/02/01,Tue,Vietnam,Dasani water,20000.00,0.88,Beverages,Regular
101,2022/02/01,Tue,Vietnam,Sprite,17000.00,0.75,Beverages,Regular
102,2022/02/01,Tue,Vietnam,Fanta,17000.00,0.75,Beverages,Regular
103,2022/02/01,Tue,Vietnam,Teppy Orange Drink,20000.00,0.88,Beverages,Regular
104,2022/02/01,Tue,Vietnam,Milo,20000.00,0.88,Beverages,Regular
105,2022/02/01,Tue,Vietnam,TH Milk,20000.00,0.88,Beverages,Regular
106,2022/02/01,Tue,Vietnam,Fuze Tea - Peach & Chia Seeds,20000.00,0.88,Beverages,Regular
107,2022/02/01,Tue,Vietnam,Fuze Tea - Passion & Chia Seeds,20000.00,0.88,Beverages,Regular
108,2022/02/01,Tue,Vietnam,Peach Tea,48000.00,2.11,Beverages,Regular
109,2022/02/01,Tue,Vietnam,Milk Cream Tea,48000.00,2.11,Beverages,Regular
110,2022/02/01,Tue,Vietnam,Lychee Black Tea,48000.00,2.11,Beverages,Regular
111,2022/02/01,Tue,Vietnam,Matcha Frappe,78000.00,3.43,Beverages,Regular
112,2022/02/01,Tue,Vietnam,Hot Matcha Latte,58000.00,2.55,Beverages,Regular
113,2022/02/01,Tue,Vietnam,Hot Chocolate,43000.00,1.89,Beverages,Regular
114,2022/02/01,Tue,Vietnam,Iced Latte,53000.00,2.33,Beverages,Regular
115,2022/02/01,Tue,Vietnam,Hot Latte,43000.00,1.89,Beverages,Regular
116,2022/02/01,Tue,Vietnam,Cappuccino,43000.00,1.89,Beverages,Regular
117,2022/02/01,Tue,Vietnam,Mocha,53000.00,2.33,Beverages,Regular
118,2022/02/01,Tue,Vietnam,Mocha Frappe,72000.00,3.17,Beverages,Regular
119,2022/02/01,Tue,Vietnam,Americano,38000.00,1.67,Beverages,Regular
120,2022/02/01,Tue,Vietnam,Iced Americano,48000.00,2.11,Beverages,Regular
121,2022/02/01,Tue,Vietnam,Latte Frappe,72000.00,3.17,Beverages,Regular
122,2022/02/01,Tue,Vietnam,Caramel Frappe,72000.00,3.17,Beverages,Regular
