,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
82,2025/01/01,Wed,Indonesia,Apple Pie,12500.00,0.77,Menu Receh,Regular
83,2025/01/01,Wed,Indonesia,Spicy Chicken Bites,13000.00,0.80,Menu Receh,Regular
84,2025/01/01,Wed,Indonesia,"MILO, small",12000.00,0.74,Menu Receh,Regular
85,2025/01/01,Wed,Indonesia,Iced Coffee,13500.00,0.83,Menu Receh,Regular
86,2025/01/01,Wed,Indonesia,McFlurry® feat. OREO,14000.00,0.86,Menu Receh,Regular
87,2025/01/01,Wed,Indonesia,Choco McFlurry®,14000.00,0.86,Menu Receh,Regular
88,2025/01/01,Wed,Indonesia,2pcs Korean Soy Garlic Wings,16500.00,1.01,Menu Receh,Regular
89,2025/01/01,Wed,Indonesia,Chicken Snack Wrap™,17500.00,1.08,Menu Receh,Regular
90,2025/01/01,Wed,Indonesia,Beef Burger,22500.00,1.38,Menu Receh,Regular
91,2025/01/01,Wed,Indonesia,Chicken Burger,22500.00,1.38,Menu Receh,Regular
92,2025/01/01,Wed,Indonesia,Nasi Uduk McD,21500.00,1.32,Menu Receh,Regular
93,2025/01/01,Wed,Indonesia,McSpaghetti,15000.00,0.92,Snack,Regular
94,2025/01/01,Wed,Indonesia,Spicy Chicken Bites,13000.00,0.80,Snack,Regular
95,2025/01/01,Wed,Indonesia,French Fries,21000.00,1.29,Snack,Regular
96,2025/01/01,Wed,Indonesia,6pcs Korean Soy Garlic Wings,49500.00,3.04,Snack,Regular
97,2025/01/01,Wed,Indonesia,McNuggets®  9pcs,55000.00,3.38,Snack,Regular
98,2025/01/01,Wed,Indonesia,McNuggets® 6pcs,40000.00,2.46,Snack,Regular
99,2025/01/01,Wed,Indonesia,McNuggets®  4pcs,27000.00,1.66,Snack,Regular
100,2025/01/01,Wed,Indonesia,Chicken Snack Wrap™,17500.00,1.08,Snack,Regular
101,2025/01/01,Wed,Indonesia,Apple Pie,12500.00,0.77,Snack,Regular
102,2025/01/01,Wed,Indonesia,Sweet Corn,13000.00,0.80,Snack,Regular
103,2025/01/01,Wed,Indonesia,Milk Tea McFlurry with Jelly Ball,18000.00,1.11,Desserts,Regular
104,2025/01/01,Wed,Indonesia,Milk Tea McFlurry with OREO,18000.00,1.11,Desserts,Regular
105,2025/01/01,Wed,Indonesia,McFlurry® feat. OREO,14000.00,0.86,Desserts,Regular
106,2025/01/01,Wed,Indonesia,Choco McFlurry®,14000.00,0.86,Desserts,Regular
107,2025/01/01,Wed,Indonesia,Double Choco Sundae,13500.00,0.83,Desserts,Regular
108,2025/01/01,Wed,Indonesia,Chocolate Strawberry Sundae,13500.00,0.83,Desserts,Regular
109,2025/01/01,Wed,Indonesia,Chocolate Sundae,12000.00,0.74,Desserts,Regular
110,2025/01/01,Wed,Indonesia,Strawberry Sundae,12000.00,0.74,Desserts,Regular
111,2025/01/01,Wed,Indonesia,Iced Coffee Tiramisu,20000.00,1.23,Drinks,Regular
112,2025/01/01,Wed,Indonesia,Iced Coffee,23000.00,1.41,Drinks,Regular
113,2025/01/01,Wed,Indonesia,Coca Cola®,10000.00,0.61,Drinks,Regular
114,2025/01/01,Wed,Indonesia,Fanta®,10000.00,0.61,Drinks,Regular
115,2025/01/01,Wed,Indonesia,Sprite®,10000.00,0.61,Drinks,Regular
116,2025/01/01,Wed,Indonesia,Fruit Tea Lemon,10000.00,0.61,Drinks,Regular
117,2025/01/01,Wed,Indonesia,Tehbotol Sosro® Pack 250ml.,12000.00,0.74,Drinks,Regular
118,2025/01/01,Wed,Indonesia,Tehbotol Sosro® Tawar 350ML,12000.00,0.74,Drinks,Regular
119,2025/01/01,Wed,Indonesia,McFloat Fanta,12000.00,0.74,Drinks,Regular
120,2025/01/01,Wed,Indonesia,McFloat Coke,12000.00,0.74,Drinks,Regular
121,2025/01/01,Wed,Indonesia,Iced Lychee Tea,20000.00,1.23,Drinks,Regular
122,2025/01/01,Wed,Indonesia,Milo ,20000.00,1.23,Drinks,Regular
123,2025/01/01,Wed,Indonesia,Mineral Water 600ml.,10000.00,0.61,Drinks,Regular
124,2025/01/01,Wed,Indonesia,Fruit Tea Blackcurrant 200ml.,12000.00,0.74,Drinks,Regular
125,2025/01/01,Wed,Indonesia,Hot Coffee,12000.00,0.74,Drinks,Regular
126,2025/01/01,Wed,Indonesia,Hot Tea,12000.00,0.74,Drinks,Regular
127,2025/01/01,Wed,Indonesia,Caramel Latte Frappe,44000.00,2.71,McCafé,Regular
128,2025/01/01,Wed,Indonesia,Iced Mocha,34000.00,2.09,McCafé,Regular
129,2025/01/01,Wed,Indonesia,Choco Frappe,36000.00,2.21,McCafé,Regular
130,2025/01/01,Wed,Indonesia,Frappe Hazelnut Latte,41000.00,2.52,McCafé,Regular
131,2025/01/01,Wed,Indonesia,Matcha Frappe,41000.00,2.52,McCafé,Regular
132,2025/01/01,Wed,Indonesia,Iced Mocha Frappe,36000.00,2.21,McCafé,Regular
133,2025/01/01,Wed,Indonesia,Iced Latte Frappe,35000.00,2.15,McCafé,Regular
134,2025/01/01,Wed,Indonesia,Mango Frappe,31000.00,1.91,McCafé,Regular
135,2025/01/01,Wed,Indonesia,Iced Vanilla Latte,36000.00,2.21,McCafé,Regular
136,2025/01/01,Wed,Indonesia,Iced Caramel Latte,36000.00,2.21,McCafé,Regular
137,2025/01/01,Wed,Indonesia,Iced Hazelnut Latte,36000.00,2.21,McCafé,Regular
138,2025/01/01,Wed,Indonesia,Iced Cappucino,31000.00,1.91,McCafé,Regular
139,2025/01/01,Wed,Indonesia,Iced Café Latte,31000.00,1.91,McCafé,Regular
140,2025/01/01,Wed,Indonesia,Iced Coffee,29000.00,1.78,McCafé,Regular
141,2025/01/01,Wed,Indonesia,Iced Café Matcha Fushion,37000.00,2.28,McCafé,Regular
142,2025/01/01,Wed,Indonesia,Iced Matcha Latte,36000.00,2.21,McCafé,Regular
143,2025/01/01,Wed,Indonesia,Iced Chocolate,33000.00,2.03,McCafé,Regular
144,2025/01/01,Wed,Indonesia,Hot Vanilla Latte,30000.00,1.84,McCafé,Regular
145,2025/01/01,Wed,Indonesia,Hot Caramel Latte,32000.00,1.97,McCafé,Regular
146,2025/01/01,Wed,Indonesia,Hot Hazelnut Latte,30000.00,1.84,McCafé,Regular
147,2025/01/01,Wed,Indonesia,Hot Matcha Latte,30000.00,1.84,McCafé,Regular
148,2025/01/01,Wed,Indonesia,Hot Mocha,28500.00,1.75,McCafé,Regular
149,2025/01/01,Wed,Indonesia,Hot Chocolate,28000.00,1.72,McCafé,Regular
