,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
85,2023/12/21,Thu,Pakistan,Caramel Ring,263.00,0.93,McCafé Bakery,Regular
86,2023/12/21,Thu,Pakistan,Butter Croissant,375.00,1.32,McCafé Bakery,Regular
87,2023/12/21,Thu,Pakistan,Double Chocolate Muffin,375.00,1.32,McCafé Bakery,Regular
88,2023/12/21,Thu,Pakistan,Milk Chocolate Cookie,246.00,0.87,McCafé Bakery,Regular
89,2023/12/21,Thu,Pakistan,Double Chocolate Cookie,246.00,0.87,McCafé Bakery,Regular
90,2023/12/21,Thu,Pakistan,Cappuccino or Latte,547.00,1.93,McCafé Drinks,Regular
91,2023/12/21,Thu,Pakistan,Babyccino,151.00,0.53,McCafé Drinks,Regular
92,2023/12/21,Thu,Pakistan,Espresso - Single Shot,194.00,0.68,McCafé Drinks,Regular
93,2023/12/21,Thu,Pakistan,Macchiato,194.00,0.68,McCafé Drinks,Regular
94,2023/12/21,Thu,Pakistan,Cappuccino,427.00,1.50,McCafé Drinks,Regular
95,2023/12/21,Thu,Pakistan,Latte,427.00,1.50,McCafé Drinks,Regular
96,2023/12/21,Thu,Pakistan,Mochaccino,461.00,1.62,McCafé Drinks,Regular
97,2023/12/21,Thu,Pakistan,Hazelnut Latte,444.00,1.56,McCafé Drinks,Regular
98,2023/12/21,Thu,Pakistan,Hot Chocolate,461.00,1.62,McCafé Drinks,Regular
99,2023/12/21,Thu,Pakistan,Caramel Latte,444.00,1.56,McCafé Drinks,Regular
100,2023/12/21,Thu,Pakistan,Americano,332.00,1.17,McCafé Drinks,Regular
101,2023/12/21,Thu,Pakistan,Vanilla Frappe,608.00,2.14,McCafé Drinks,Regular
102,2023/12/21,Thu,Pakistan,Chocolate Frappe,608.00,2.14,McCafé Drinks,Regular
103,2023/12/21,Thu,Pakistan,Chocolate Oreo Frappe,608.00,2.14,McCafé Drinks,Regular
104,2023/12/21,Thu,Pakistan,Mocha Frappe,625.00,2.20,McCafé Drinks,Regular
105,2023/12/21,Thu,Pakistan,Iced Latte,478.00,1.68,McCafé Drinks,Regular
106,2023/12/21,Thu,Pakistan,Caramel Iced Latte,478.00,1.68,McCafé Drinks,Regular
107,2023/12/21,Thu,Pakistan,Hazelnut Iced Latte,478.00,1.68,McCafé Drinks,Regular
108,2023/12/21,Thu,Pakistan,Ice Tea Rasberry,435.00,1.53,McCafé Drinks,Regular
109,2023/12/21,Thu,Pakistan,Ice Tea Peach,435.00,1.53,McCafé Drinks,Regular
110,2023/12/21,Thu,Pakistan,Ice Tea Lemon,435.00,1.53,McCafé Drinks,Regular
111,2023/12/21,Thu,Pakistan,Ice Tea Mango,435.00,1.53,McCafé Drinks,Regular
112,2023/12/21,Thu,Pakistan,Garlic Mayo Sauce,43.00,0.15,Condiments,Regular
113,2023/12/21,Thu,Pakistan,Chilli Mayo Sauce,43.00,0.15,Condiments,Regular
114,2023/12/21,Thu,Pakistan,BBQ Sauce,43.00,0.15,Condiments,Regular
